AVERAGE,MAX,MIN,STD,MEDIAN,CLUSTER
11.31,11.31,11.31,0.0,11.31,2
12.96,20.21,6.91,4.65,12.46,2
14.1,25.71,5.21,6.97,14.11,2
10.61,15.21,8.01,1.83,10.21,2
11.22,17.41,6.91,3.32,10.21,2
11.36,19.61,4.11,5.05,11.01,2
11.54,20.21,5.21,5.0,10.21,2
12.02,21.31,4.61,5.63,10.76,2
11.31,20.21,2.41,6.06,11.31,2
12.83,21.81,4.61,5.84,11.91,2
12.93,20.71,5.81,5.18,12.46,2
12.67,20.21,5.81,4.86,13.51,2
12.67,20.21,5.21,4.78,12.16,2
12.9,21.81,5.21,5.74,12.96,2
13.96,23.51,5.81,5.99,13.26,2
13.33,23.01,6.31,5.28,11.56,2
13.28,24.11,6.31,5.56,12.16,2
10.87,16.91,5.81,3.55,10.71,2
12.84,20.21,6.91,4.24,10.71,2
12.88,21.81,5.21,5.59,11.31,2
12.73,21.31,6.91,5.4,12.16,2
11.9,19.61,6.31,4.27,11.61,2
11.8,19.61,5.21,4.92,10.71,2
11.98,21.81,4.61,5.73,11.31,2
12.75,22.41,4.61,6.17,11.31,2
13.69,22.41,6.31,5.56,12.41,2
14.27,25.21,6.31,6.32,13.81,2
14.53,21.81,8.01,5.01,14.06,2
13.82,18.51,8.51,2.95,14.11,2
13.28,20.21,8.51,3.68,12.16,2
8.78,12.41,4.11,2.15,8.51,2
4.49,8.01,1.31,2.03,4.61,2
7.53,15.21,0.21,5.32,7.71,2
11.26,18.51,5.81,4.3,11.86,2
11.58,17.41,8.01,2.97,11.01,2
12.72,20.21,5.81,4.43,13.26,2
13.14,20.21,6.31,4.81,12.46,2
13.01,21.31,5.81,4.93,12.16,2
12.0,18.01,8.51,3.02,11.31,2
11.09,18.01,4.61,4.26,10.46,2
10.19,17.41,3.01,4.67,10.21,2
11.97,19.61,4.61,4.86,12.46,2
16.17,25.71,9.11,5.48,15.76,2
19.81,24.61,15.21,3.12,19.66,2
16.08,20.71,11.91,2.39,15.71,2
15.06,22.41,7.41,4.77,15.21,2
15.65,25.71,6.91,6.11,14.06,2
16.42,25.71,8.51,5.64,16.61,2
17.64,22.41,14.11,2.88,16.91,2
15.01,21.31,11.91,3.03,13.51,2
14.94,21.31,11.31,2.99,13.81,2
13.32,16.91,10.21,2.28,12.41,2
12.39,18.01,9.61,2.96,11.01,2
13.14,18.51,7.41,3.48,13.26,2
12.83,18.01,8.51,3.01,12.71,2
13.69,19.61,8.01,3.2,13.01,2
13.04,20.21,8.51,3.7,11.31,2
12.28,16.31,8.51,2.6,12.16,2
11.2,15.71,8.01,2.16,11.01,2
11.66,18.51,6.91,3.71,10.46,2
15.2,26.31,6.91,6.37,13.81,2
12.56,16.91,8.51,2.44,12.41,2
12.52,20.21,0.21,5.28,13.27,2
14.58,19.11,10.21,2.91,14.36,2
15.68,24.61,8.51,5.39,15.16,2
14.66,21.31,10.21,3.09,13.51,2
13.68,18.51,10.71,2.62,12.41,2
11.4,15.71,8.51,2.03,10.71,2
13.44,18.51,9.61,3.01,13.26,2
13.12,19.11,8.01,3.57,11.61,2
14.52,21.31,8.51,4.45,14.36,2
14.85,23.01,8.51,4.81,14.91,2
17.04,25.71,9.11,5.73,16.31,2
18.55,29.11,8.51,6.78,18.01,2
19.62,29.61,9.61,6.69,19.91,2
20.03,29.11,11.31,5.9,19.91,2
19.16,27.41,11.91,5.02,18.26,2
17.27,25.71,10.21,4.95,16.31,2
20.55,30.21,11.31,7.0,20.21,2
21.64,31.31,12.41,6.44,21.86,1
20.81,29.61,11.91,6.05,20.46,2
19.59,26.81,11.31,5.13,19.91,2
21.29,30.21,13.01,5.62,21.26,2
20.77,29.61,13.51,4.9,20.46,2
19.91,28.51,12.41,4.91,18.81,2
20.07,29.11,11.31,6.12,20.21,2
15.17,20.71,11.31,2.49,14.91,2
16.68,24.61,12.41,3.98,15.21,2
16.33,24.11,9.11,4.72,16.86,2
18.54,28.01,10.21,5.81,18.01,2
19.64,27.41,13.01,4.73,18.81,2
17.76,24.61,11.91,3.74,17.16,2
16.12,21.81,11.91,2.76,14.61,2
16.37,21.81,10.21,3.93,16.86,2
14.11,19.61,10.21,2.7,13.51,2
15.43,21.31,11.31,3.41,14.91,2
17.86,25.71,10.21,5.2,18.01,2
20.03,28.01,11.31,5.57,19.91,2
21.91,30.21,13.51,5.45,22.11,1
21.45,29.61,15.21,5.07,19.06,2
17.09,21.31,13.51,1.67,17.41,2
17.49,25.71,11.91,4.4,18.01,2
20.01,25.71,16.91,2.26,19.61,2
17.02,20.71,14.61,1.62,16.91,2
15.27,19.11,12.41,1.88,15.21,2
16.62,21.81,13.51,2.44,16.91,2
17.73,21.31,15.21,2.17,17.46,2
18.73,24.61,14.61,3.27,17.71,2
17.23,20.71,14.61,1.95,16.61,2
16.5,21.31,13.01,3.09,15.76,2
15.76,21.31,11.31,3.07,15.46,2
18.66,28.01,11.91,5.52,17.96,2
21.46,31.31,13.01,6.02,21.31,1
25.13,36.31,15.71,6.53,25.21,1
26.89,36.31,17.41,6.15,26.81,1
26.6,34.61,19.11,5.03,27.11,1
26.79,34.61,17.41,6.39,27.71,1
26.51,35.71,19.11,5.64,25.21,1
27.13,36.31,18.01,6.21,26.56,1
25.24,31.81,18.51,4.3,24.91,1
21.61,29.11,15.21,4.68,20.76,2
19.35,27.41,13.51,4.38,18.56,2
21.89,29.11,15.21,4.55,21.86,2
21.41,26.81,16.91,3.32,20.46,2
23.48,31.31,16.31,5.4,24.06,1
26.69,35.71,17.41,6.02,26.81,1
26.49,34.61,18.01,5.22,26.01,1
27.96,37.41,17.41,6.31,27.71,1
30.06,39.11,19.61,6.22,29.11,1
26.88,35.71,18.01,5.8,28.01,1
27.35,35.71,19.11,5.68,27.41,1
27.89,35.71,20.71,4.63,26.56,1
25.56,34.61,17.41,5.71,26.31,1
26.62,34.61,19.11,4.99,25.21,1
25.65,34.11,17.41,5.1,24.36,1
