AVERAGE,MAX,MIN,STD,MEDIAN,CLUSTER,YEAR,MONTH,DAY
12.21,12.21,12.21,0.0,12.21,1,1949,1,2
8.91,8.91,8.91,0.0,8.91,1,1949,1,3
13.91,13.91,13.91,0.0,13.91,1,1949,1,5
16.11,16.11,16.11,0.0,16.11,2,1949,1,7
11.11,11.11,11.11,0.0,11.11,1,1949,1,9
8.91,8.91,8.91,0.0,8.91,1,1949,1,11
12.21,12.21,12.21,0.0,12.21,1,1949,1,14
15.01,15.01,15.01,0.0,15.01,2,1949,1,15
16.11,16.11,16.11,0.0,16.11,2,1949,1,19
11.11,11.11,11.11,0.0,11.11,1,1949,1,22
16.11,16.11,16.11,0.0,16.11,2,1949,1,24
12.81,12.81,12.81,0.0,12.81,1,1949,1,26
15.01,15.01,15.01,0.0,15.01,2,1949,1,27
16.11,16.11,16.11,0.0,16.11,2,1949,1,28
13.91,13.91,13.91,0.0,13.91,1,1949,1,30
13.91,13.91,13.91,0.0,13.91,1,1949,1,31
6.11,6.11,6.11,0.0,6.11,1,1949,2,2
15.01,15.01,15.01,0.0,15.01,2,1949,2,3
13.36,13.91,12.81,0.55,13.36,1,1949,2,4
14.16,16.11,12.21,1.95,14.16,2,1949,2,9
11.31,13.91,6.11,3.68,13.91,1,1949,2,14
11.11,11.11,11.11,0.0,11.11,1,1949,2,16
12.81,12.81,12.81,0.0,12.81,1,1949,2,17
16.11,16.11,16.11,0.0,16.11,2,1949,2,19
17.81,17.81,17.81,0.0,17.81,2,1949,2,21
15.01,15.01,15.01,0.0,15.01,2,1949,2,25
17.21,17.21,17.21,0.0,17.21,2,1949,2,26
17.21,17.21,17.21,0.0,17.21,2,1949,2,27
11.11,15.01,7.21,3.9,11.11,1,1949,3,1
13.91,13.91,13.91,0.0,13.91,1,1949,3,5
14.16,17.21,11.11,3.05,14.16,2,1949,3,7
10.01,13.91,6.11,3.9,10.01,1,1949,3,8
14.16,16.11,12.21,1.95,14.16,2,1949,3,9
15.01,16.11,13.91,0.9,15.01,2,1949,3,10
16.11,16.11,16.11,0.0,16.11,2,1949,3,17
8.91,8.91,8.91,0.0,8.91,1,1949,3,20
16.96,17.81,16.11,0.85,16.96,2,1949,3,21
11.96,16.11,7.81,4.15,11.96,1,1949,3,25
17.51,17.81,17.21,0.3,17.51,2,1949,3,26
16.41,20.01,12.81,3.6,16.41,2,1949,3,29
17.51,18.91,16.11,1.4,17.51,2,1949,3,31
20.56,22.21,18.91,1.65,20.56,2,1949,4,1
20.01,21.11,18.91,1.1,20.01,2,1949,4,2
21.96,25.01,18.91,3.05,21.96,2,1949,4,3
21.31,25.01,18.91,2.65,20.01,2,1949,4,4
21.66,26.11,17.21,4.45,21.66,2,1949,4,5
23.06,27.21,18.91,4.15,23.06,2,1949,4,6
21.96,23.91,20.01,1.95,21.96,2,1949,4,7
22.51,26.11,18.91,3.6,22.51,2,1949,4,8
22.51,27.81,17.21,5.3,22.51,2,1949,4,9
21.66,26.11,17.21,4.45,21.66,2,1949,4,10
21.11,25.01,17.21,3.9,21.11,2,1949,4,11
17.41,22.21,11.11,4.65,18.91,2,1949,4,12
18.61,21.11,16.11,2.5,18.61,2,1949,4,13
20.56,21.11,20.01,0.55,20.56,2,1949,4,14
21.41,22.81,20.01,1.4,21.41,2,1949,4,15
15.01,17.21,12.81,2.2,15.01,2,1949,4,16
17.51,18.91,16.11,1.4,17.51,2,1949,4,17
18.36,18.91,17.81,0.55,18.36,2,1949,4,18
22.21,22.21,22.21,0.0,22.21,2,1949,4,19
21.11,22.21,20.01,1.1,21.11,2,1949,4,20
18.61,21.11,16.11,2.5,18.61,2,1949,4,21
18.91,20.01,17.81,1.1,18.91,2,1949,4,22
18.06,20.01,16.11,1.95,18.06,2,1949,4,23
13.71,17.81,7.21,4.65,16.11,2,1949,4,24
19.46,20.01,18.91,0.55,19.46,2,1949,4,25
20.56,22.21,18.91,1.65,20.56,2,1949,4,26
17.21,17.21,17.21,0.0,17.21,2,1949,4,27
12.78,17.21,6.11,4.8,15.01,1,1949,4,28
15.21,17.81,10.01,3.68,17.81,2,1949,4,29
16.96,17.81,16.11,0.85,16.96,2,1949,4,30
12.98,16.11,8.91,3.01,13.91,2,1949,5,1
11.88,17.81,2.81,6.51,15.01,1,1949,5,2
16.11,16.11,16.11,0.0,16.11,2,1949,5,3
13.51,17.21,7.21,4.48,16.11,2,1949,5,4
17.21,17.21,17.21,0.0,17.21,2,1949,5,5
18.06,18.91,17.21,0.85,18.06,2,1949,5,6
