AVERAGE,MAX,MIN,STD,MEDIAN,CLUSTER,YEAR,MONTH,DAY
19.61,19.61,19.61,0.0,19.61,2,1945,8,28
19.89,23.01,18.51,1.44,19.11,2,1945,8,29
19.58,21.81,18.51,1.19,19.11,2,1945,8,30
19.38,21.31,17.41,1.13,19.11,2,1945,8,31
19.29,20.71,18.51,0.84,19.11,2,1945,9,1
19.86,23.01,18.51,1.23,19.61,2,1945,9,2
19.94,22.41,19.11,0.9,19.61,2,1945,9,3
20.08,21.31,19.11,0.86,19.91,2,1945,9,4
19.85,20.71,19.11,0.45,19.91,2,1945,9,5
20.51,22.41,19.11,1.18,20.21,2,1945,9,6
20.19,22.41,18.51,0.99,20.21,2,1945,9,7
20.31,23.01,18.51,1.15,20.21,2,1945,9,8
19.99,21.81,19.11,0.92,19.61,2,1945,9,9
19.96,21.31,18.51,0.91,19.61,2,1945,9,10
20.19,23.01,18.51,1.16,19.61,2,1945,9,11
19.97,21.81,19.11,0.73,19.61,2,1945,9,12
20.12,22.41,19.11,1.17,19.61,2,1945,9,13
19.6,21.31,18.51,0.74,19.11,2,1945,9,14
19.22,21.31,17.41,0.99,19.11,2,1945,9,15
19.63,24.11,16.91,2.17,19.61,2,1945,9,16
20.19,23.51,18.51,1.4,19.61,2,1945,9,17
20.01,23.01,18.51,1.09,19.61,2,1945,9,18
19.39,21.31,18.01,1.31,18.51,2,1945,9,19
18.83,21.31,17.41,1.28,18.51,2,1945,9,20
19.21,23.01,18.01,1.39,18.51,2,1945,9,21
19.91,23.01,18.51,1.27,19.61,2,1945,9,22
19.76,22.41,19.11,0.89,19.11,2,1945,9,23
19.75,23.01,18.51,1.24,19.36,2,1945,9,24
20.12,23.51,18.51,1.51,19.91,2,1945,9,25
20.58,24.11,18.51,1.93,19.91,2,1945,9,26
20.43,23.01,19.11,1.38,19.61,2,1945,9,27
20.67,24.11,19.11,1.65,20.21,2,1945,9,28
20.66,22.41,19.61,0.95,20.46,2,1945,9,29
20.83,22.41,19.61,0.87,20.71,2,1945,9,30
20.89,23.01,19.61,1.02,20.21,2,1945,10,1
21.83,27.41,18.51,2.61,21.01,2,1945,10,2
20.84,23.01,18.01,1.54,20.71,2,1945,10,3
21.05,23.51,19.11,1.1,20.71,2,1945,10,4
20.91,24.11,19.11,1.71,20.21,2,1945,10,5
20.29,23.51,18.51,1.38,19.91,2,1945,10,6
20.91,24.61,19.11,1.82,20.21,2,1945,10,7
20.25,23.01,18.51,1.44,19.61,2,1945,10,8
20.31,24.11,18.51,1.61,19.61,2,1945,10,9
19.87,22.41,18.01,1.26,19.66,2,1945,10,10
22.82,33.51,18.01,4.28,21.81,1,1945,10,11
23.86,35.21,19.11,4.31,22.11,1,1945,10,12
21.81,24.61,20.21,1.5,21.31,2,1945,10,13
22.1,25.71,20.21,1.65,21.01,2,1945,10,14
23.08,33.51,17.41,4.21,22.41,1,1945,10,15
24.13,33.51,19.11,4.36,23.56,1,1945,10,16
23.91,23.91,23.91,0.0,23.91,1,1961,6,1
23.91,25.01,22.81,0.9,23.91,1,1961,6,2
21.31,23.91,16.11,3.68,23.91,2,1961,6,3
22.61,26.11,17.81,3.51,23.91,1,1961,6,5
20.44,23.91,17.21,2.96,20.31,2,1961,6,6
23.91,25.01,22.81,1.1,23.91,1,1961,6,7
22.79,27.81,17.21,4.52,23.91,1,1961,6,8
24.31,30.01,16.11,5.09,25.56,1,1961,6,9
21.81,27.21,17.21,4.37,21.41,2,1961,6,10
23.49,26.11,18.91,2.75,24.46,1,1961,6,11
23.91,26.11,22.81,1.56,22.81,1,1961,6,12
23.91,25.01,22.81,0.9,23.91,1,1961,6,13
22.13,25.01,18.91,2.31,22.81,2,1961,6,14
25.01,25.01,25.01,0.0,25.01,1,1961,6,15
20.86,22.81,18.91,1.95,20.86,2,1961,6,16
22.11,23.91,18.91,1.9,22.81,2,1961,6,17
21.96,22.81,21.11,0.85,21.96,1,1961,6,18
22.79,25.01,17.81,2.91,25.01,1,1961,6,19
26.54,32.21,20.01,4.84,26.96,1,1961,6,20
27.61,30.01,25.01,2.05,27.81,1,1961,6,21
25.94,27.81,25.01,1.32,25.01,1,1961,6,22
22.79,27.21,17.81,3.61,23.06,1,1961,6,23
24.74,27.81,18.91,3.43,26.11,1,1961,6,24
24.35,28.91,17.81,4.01,25.01,1,1961,6,25
22.51,27.21,17.81,3.76,22.51,1,1961,6,26
25.01,27.21,22.81,1.74,25.01,1,1961,6,27
22.13,25.01,17.81,2.84,22.81,2,1961,6,28
24.28,25.01,23.91,0.52,23.91,1,1961,6,29
22.79,25.01,20.01,1.9,23.91,1,1961,6,30
26.11,26.11,26.11,0.0,26.11,1,1961,7,1
23.06,23.91,22.21,0.85,23.06,1,1961,7,2
24.31,26.11,21.11,1.9,25.01,1,1961,7,3
24.19,27.81,21.11,2.38,23.91,1,1961,7,4
22.21,22.21,22.21,0.0,22.21,1,1961,7,5
25.14,32.21,18.91,5.04,24.71,1,1961,7,6
25.71,27.81,22.21,2.32,26.41,1,1961,7,7
28.91,31.11,27.81,1.56,27.81,1,1961,7,8
