AVERAGE,MAX,MIN,STD,MEDIAN,CLUSTER
7.89,15.21,3.01,4.15,7.16,2
9.37,15.21,4.11,4.14,10.21,2
12.29,15.71,9.61,1.84,12.41,2
13.23,15.21,11.31,1.29,13.26,2
13.67,18.51,10.21,2.68,13.26,2
13.35,16.31,10.71,1.42,13.01,2
12.67,16.91,9.61,1.79,12.41,2
12.63,18.01,9.61,3.13,10.71,2
12.15,18.01,8.51,3.22,11.31,2
11.85,18.01,6.91,3.81,11.61,2
13.16,18.01,8.51,3.6,13.51,2
14.81,18.51,10.21,2.37,15.71,2
15.95,19.11,14.11,1.52,15.71,2
15.39,20.21,12.41,2.05,14.61,2
13.13,17.41,9.61,2.64,11.91,2
12.96,20.21,6.91,4.23,13.51,2
14.74,18.01,12.41,1.62,14.11,2
12.98,19.61,8.51,3.35,12.46,2
12.4,18.51,8.01,3.76,11.01,2
12.99,21.31,8.01,4.55,11.91,2
12.41,18.01,10.21,1.7,11.91,2
12.56,18.01,9.11,3.01,10.71,2
12.32,20.21,7.41,4.52,11.31,2
13.13,19.11,9.11,3.5,11.61,2
12.35,17.41,7.41,3.44,11.86,2
11.48,17.41,6.91,3.47,10.16,2
11.6,19.11,5.81,4.84,10.21,2
12.14,20.21,6.31,4.82,10.76,2
12.36,19.11,6.91,4.12,11.91,2
12.36,19.61,6.31,4.87,12.41,2
12.42,20.71,5.81,5.25,11.31,2
12.56,21.31,6.91,5.06,10.46,2
12.54,19.11,7.41,4.19,12.71,2
12.7,16.91,9.61,2.55,11.91,2
11.43,17.41,6.31,3.17,11.91,2
13.06,16.91,8.01,2.86,13.51,2
11.95,18.01,5.81,3.98,12.16,2
11.97,20.21,5.81,4.25,12.71,2
11.86,18.01,6.91,3.48,11.01,2
11.35,19.11,5.21,4.91,10.76,2
11.76,18.01,5.81,3.97,11.91,2
12.87,18.01,8.01,3.29,12.46,2
12.06,18.51,5.81,4.31,11.06,2
12.45,18.01,7.41,3.49,12.16,2
12.56,18.51,8.51,2.89,12.41,2
13.19,18.01,10.21,2.58,13.51,2
14.4,18.51,9.61,2.63,14.61,2
11.67,15.21,5.81,2.25,11.91,2
8.31,13.01,3.51,3.24,8.56,2
10.6,15.71,6.91,3.22,9.91,2
11.33,16.91,6.31,3.81,11.31,2
12.69,17.41,8.51,2.77,11.91,2
11.78,18.01,5.81,4.05,11.61,2
12.12,18.51,6.31,4.07,12.41,2
12.84,17.41,7.41,3.39,13.51,2
12.86,18.51,8.51,3.14,13.01,2
11.73,16.91,5.21,3.97,13.01,2
11.61,17.41,5.81,3.62,11.31,2
