ID,YEAR,REGION_TYPE,AVERAGE,MAX,MIN,STD,MEDIAN
601780,1950,ARID,22.45,37.81,17.81,5.44,"21.11
"
601780,1951,ARID,21.55,37.81,5.01,6.93,"21.11
"
601780,1952,ARID,18.99,37.81,2.21,7.40,"17.81
"
601780,1986,ARID,22.31,27.51,13.71,6.13,"25.71
"
601780,1987,ARID,20.60,40.11,3.61,7.08,"19.71
"
601780,1988,ARID,13.05,40.11,0.51,7.96,"10.31
"
601780,1989,ARID,13.67,35.31,2.81,6.51,"12.31
"
601780,1990,ARID,18.70,29.31,8.21,6.59,"19.51
"
601780,1991,ARID,17.04,22.51,13.01,3.73,"15.61
"
601780,1992,ARID,19.25,25.61,12.71,4.11,"20.41
"
601780,1993,ARID,20.31,38.01,6.01,7.55,"18.91
"
601780,1994,ARID,19.74,30.01,8.01,9.04,"21.21
"
601780,1995,ARID,15.26,35.61,5.51,8.44,"13.76
"
601780,1996,ARID,17.71,28.01,7.01,6.18,"17.21
"
601780,1997,ARID,15.11,22.61,6.61,5.80,"14.86
"
601780,1998,ARID,9.01,9.01,9.01,0.00,"9.01
"
601780,1999,ARID,17.01,17.01,17.01,0.00,"17.01
"
601780,2000,ARID,14.21,14.21,14.21,0.00,"14.21
"
601780,2005,ARID,33.21,33.21,33.21,0.00,"33.21
"
601780,2018,ARID,9.36,18.71,4.21,5.61,"7.26
"
601780,2019,ARID,19.48,39.71,1.51,8.09,"18.51
"
601780,2020,ARID,20.16,42.51,2.21,8.53,"19.21
"
601780,2021,ARID,19.43,43.51,1.71,8.56,"18.51
"
601780,2022,ARID,16.79,42.01,4.11,6.39,"16.21
"
601780,2023,ARID,20.99,43.22,0.21,8.42,"20.61
"
602051,1951,ARID,12.89,24.61,3.01,4.13,"12.41
"
602051,1952,ARID,18.64,44.61,0.21,7.78,"18.01
"
602051,1953,ARID,18.74,46.31,0.41,7.92,"17.41
"
602051,1954,ARID,18.63,45.21,0.21,8.39,"17.41
"
602051,1955,ARID,20.04,42.91,3.01,7.44,"19.11
"
602051,1956,ARID,18.10,45.21,0.81,8.13,"17.41
"
602051,1957,ARID,18.80,45.21,0.21,8.16,"18.01
"
602051,1958,ARID,19.24,44.61,1.31,7.82,"18.01
"
602051,1959,ARID,18.75,46.81,2.41,7.66,"18.01
"
602051,1960,ARID,18.91,44.01,1.31,7.62,"18.01
"
602051,1961,ARID,20.22,43.51,0.41,7.94,"19.61
"
602051,1962,ARID,19.14,43.51,0.21,8.12,"18.01
"
602051,1963,ARID,13.94,33.51,0.81,5.22,"13.01
"
602051,2022,ARID,22.12,43.01,5.01,7.62,"21.21
"
602051,2023,ARID,21.50,43.21,0.71,8.49,"20.71
"
602300,1943,ARID,19.94,43.51,0.21,8.51,"19.61
"
602300,1944,ARID,19.23,45.21,0.21,7.83,"19.11
"
602300,1945,ARID,20.54,45.21,0.21,7.95,"20.21
"
602300,1946,ARID,13.60,22.41,3.01,4.55,"13.51
"
602300,1949,ARID,24.82,42.21,7.21,7.15,"26.11
"
602300,1950,ARID,22.89,41.11,6.11,6.68,"22.81
"
602300,1951,ARID,22.88,43.91,6.11,7.21,"22.81
"
602300,1952,ARID,23.22,42.21,8.91,6.72,"22.81
"
602300,1957,ARID,19.46,41.12,1.11,8.18,"17.81
"
602300,1958,ARID,19.38,42.21,2.21,7.71,"17.81
"
602300,1959,ARID,18.74,42.81,2.81,7.46,"17.81
"
602300,1960,ARID,19.38,40.01,2.81,7.72,"18.91
"
602300,1961,ARID,20.69,42.21,0.01,8.15,"20.01
"
602300,1962,ARID,19.63,42.81,1.11,8.07,"17.81
"
602300,1964,ARID,15.76,33.91,2.81,6.75,"15.01
"
602300,1965,ARID,18.37,41.11,1.11,7.57,"17.21
"
602300,1966,ARID,19.27,43.91,2.81,7.75,"17.81
"
602300,1967,ARID,18.87,43.91,0.01,8.16,"17.81
"
602300,1973,ARID,18.91,45.01,2.01,7.97,"18.01
"
602300,1974,ARID,18.55,43.01,0.01,8.38,"18.01
"
602300,1975,ARID,18.90,45.01,1.01,8.13,"17.01
"
602300,1976,ARID,17.96,43.01,0.01,7.43,"17.01
"
602300,1977,ARID,19.10,43.01,1.01,6.87,"18.01
"
602300,1978,ARID,19.80,44.01,1.01,7.57,"19.01
"
602300,1979,ARID,19.39,46.01,2.01,7.33,"19.01
"
602300,1980,ARID,20.27,46.01,1.01,8.42,"19.01
"
